,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
57,57,0.771238987756543,2025-04-06 22:59:08.582185,2025-04-06 23:06:01.614160,0 days 00:06:53.031975,0.9136885401891118,0.42063569590867184,0.02367398223380534,8,988,0.03367055022399041,3.1624070260816134e-05,0.9578568019441356,COMPLETE
58,58,0.7411215415645707,2025-04-06 23:06:01.630487,2025-04-06 23:08:54.358651,0 days 00:02:52.728164,0.8560655153420663,0.2740907338500481,0.012454771435459634,5,220,0.39993675790141897,2.1176993504236896e-08,0.8068257194506828,COMPLETE
59,59,0.7723253270138309,2025-04-06 23:08:54.371270,2025-04-06 23:13:10.758645,0 days 00:04:16.387375,0.894619482823732,0.35678523741320656,0.040155248157149014,6,781,0.10161904209859697,7.978393426653008e-07,0.8554468836908583,COMPLETE
60,60,0.7730604892898503,2025-04-06 23:13:10.776611,2025-04-06 23:19:08.542768,0 days 00:05:57.766157,0.9276834423491301,0.18789672543845845,0.021328481464786626,7,887,0.0019639819096848995,3.041485233846531e-06,0.9240157633946459,COMPLETE
61,61,0.7728485862155164,2025-04-06 23:19:08.557121,2025-04-06 23:23:52.188270,0 days 00:04:43.631149,0.8361730057246392,0.3217154734479727,0.03456522685160842,6,907,0.009047071322253557,2.0788967188634945e-07,0.9155088504436393,COMPLETE
62,62,0.7733144163959897,2025-04-06 23:23:52.200777,2025-04-06 23:28:26.012485,0 days 00:04:33.811708,0.8622693153505855,0.3094164477217161,0.030638478171490156,6,943,0.00076849361439802,9.793486700804704e-08,0.9062782341115416,COMPLETE
63,63,0.7732262970733894,2025-04-06 23:28:26.026610,2025-04-06 23:33:10.726632,0 days 00:04:44.700022,0.8953668787011159,0.3034550265256182,0.02694091423170411,6,947,0.0005991812858534598,3.930129028001331e-08,0.8980783623075366,COMPLETE
64,64,0.7736822380021267,2025-04-06 23:33:10.741634,2025-04-06 23:39:24.043967,0 days 00:06:13.302333,0.896320577428544,0.3050158822599468,0.030007215716640005,5,1000,0.0005737973967489598,3.2915043223488714e-08,0.9050620790784112,COMPLETE
65,65,0.7735963268671677,2025-04-06 23:39:24.072969,2025-04-06 23:45:58.351296,0 days 00:06:34.278327,0.8653315771923427,0.2397074974674954,0.028695420376103016,5,1000,0.0002715097705850305,6.716387439998583e-08,0.8718473448158429,COMPLETE
66,66,0.7735219214641338,2025-04-06 23:45:58.365120,2025-04-06 23:52:03.499815,0 days 00:06:05.134695,0.8600109747844604,0.2332936645737269,0.030575636110121613,5,995,0.00011850322052893779,1.0632186516803109e-05,0.8711190747791253,COMPLETE
