,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
74,74,0.7699614551857475,2025-04-09 12:12:50.868525,2025-04-09 12:14:47.703540,0 days 00:01:56.835015,0.6376120488337828,0.023703676196113202,11,722,23,1.395108413824573e-05,0.48224603909871144,0.9668613964383429,COMPLETE
75,75,0.7685346130601759,2025-04-09 12:14:47.716825,2025-04-09 12:16:29.930562,0 days 00:01:42.213737,0.677308340492627,0.033344868489432966,10,589,37,0.00011008849629648081,0.05153652582340519,0.949467185055127,COMPLETE
76,76,0.7605261649695516,2025-04-09 12:16:29.944525,2025-04-09 12:18:32.351514,0 days 00:02:02.406989,0.6090408195133703,0.0703757720539939,7,929,29,4.796604375501899e-07,0.12472751783543563,0.913191209659982,COMPLETE
77,77,0.77010697625424,2025-04-09 12:18:32.376526,2025-04-09 12:20:37.250246,0 days 00:02:04.873720,0.7033580107464344,0.018166198137336692,10,673,33,0.0008026011374932838,0.00456476195368282,0.9292331188716404,COMPLETE
78,78,0.7684316147721976,2025-04-09 12:20:37.272017,2025-04-09 12:23:39.943055,0 days 00:03:02.671038,0.640757693867997,0.020969846560623246,12,891,62,6.492804520764706e-08,0.0013907818991074278,0.8247084914779739,COMPLETE
79,79,0.7694778325904094,2025-04-09 12:23:39.956567,2025-04-09 12:25:21.428097,0 days 00:01:41.471530,0.6630021656692285,0.024903219183054447,4,774,40,3.363932924907743e-05,0.00022078003737057317,0.8963885131859557,COMPLETE
80,80,0.7703754288598758,2025-04-09 12:25:21.440410,2025-04-09 12:27:47.795764,0 days 00:02:26.355354,0.7379139531947622,0.01562207519516044,9,839,27,0.7265038216919424,0.014787825729667404,0.7220607941366388,COMPLETE
81,81,0.7675828992160005,2025-04-09 12:27:47.817271,2025-04-09 12:29:40.054468,0 days 00:01:52.237197,0.7153326460793363,0.0473046044541406,11,808,23,9.201346939969571e-05,3.922528812948564e-06,0.7559623613905367,COMPLETE
82,82,0.7680049731035287,2025-04-09 12:29:40.067510,2025-04-09 12:31:46.390924,0 days 00:02:06.323414,0.6840795252931842,0.03856052529717883,5,871,40,5.3156020290376046e-08,0.06704912502954477,0.7392301874862027,COMPLETE
83,83,0.7688839809640978,2025-04-09 12:31:46.402917,2025-04-09 12:33:43.207816,0 days 00:01:56.804899,0.6962546373906396,0.03179012302203438,5,803,42,1.7416080274449417e-07,0.031218427282258418,0.7482931298834747,COMPLETE
84,84,0.7697234496301768,2025-04-09 12:33:43.235670,2025-04-09 12:35:29.834928,0 days 00:01:46.599258,0.6607369981532446,0.04392766020904582,4,903,34,3.426535734722541e-08,0.21542482304536292,0.7128333192142746,COMPLETE
85,85,0.7694260974314063,2025-04-09 12:35:29.859929,2025-04-09 12:37:27.436085,0 days 00:01:57.576156,0.7360492072957189,0.025457315064771634,6,735,31,1.9292359936325692e-08,0.05262279861433474,0.8685306696566483,COMPLETE
86,86,0.7695476273510853,2025-04-09 12:37:27.457084,2025-04-09 12:38:40.132061,0 days 00:01:12.674977,0.6472277570790261,0.058088856386293804,3,693,47,2.760925198601077e-08,0.9681712589245998,0.6978343699928488,COMPLETE
87,87,0.7697719651881416,2025-04-09 12:38:40.153549,2025-04-09 12:41:09.901097,0 days 00:02:29.747548,0.7714673327031292,0.013832186460518033,6,829,38,1.7786404900840136e-05,0.009244401740103991,0.7318498414916658,COMPLETE
88,88,0.7693269778052594,2025-04-09 12:41:09.922618,2025-04-09 12:43:02.425082,0 days 00:01:52.502464,0.7212142667245043,0.028909453683861875,5,762,35,9.98632927196933e-08,0.11494139611445578,0.8537707926698462,COMPLETE
89,89,0.7684015529164476,2025-04-09 12:43:02.437084,2025-04-09 12:45:45.214214,0 days 00:02:42.777130,0.9242988142243111,0.02212146384402885,8,860,49,7.116804598858095e-07,0.28436428893146093,0.6647943794818727,COMPLETE
90,90,0.739848831715662,2025-04-09 12:45:45.226212,2025-04-09 12:48:34.415971,0 days 00:02:49.189759,0.6712720998890144,0.07766825484916726,10,940,76,3.0628201537913234e-07,0.01893882052037845,0.7756742716045358,COMPLETE
91,91,0.7703360644500894,2025-04-09 12:48:34.428342,2025-04-09 12:50:44.217823,0 days 00:02:09.789481,0.6254763117052804,0.020284943632660375,9,652,45,5.91730674536145e-06,0.005494968283863448,0.7494475802262958,COMPLETE
92,92,0.7694891290260013,2025-04-09 12:50:44.240138,2025-04-09 12:52:53.032848,0 days 00:02:08.792710,0.6156505152053263,0.03132971924107633,9,883,25,2.3453028351644255e-05,0.0019315203949279696,0.8950270932368775,COMPLETE
